********************************
*Task test instances (40 tasks)*
********************************

Each line of the file contains the following data:

		ID|SE|RE|WR|LO|TI

Where

		ID = ID of the task.
		SE = SEnsors required by the task.
		RE = REwards of task sensors.
		WR = Working Rates of task sensors.
		LO = LOcation of the task.
		TI = Temporal Information about the task [Priority, Duration, Discovering date, Starting date, Finishing date].

|ID     |SE             |RE             |WR                |LO                      |TI                           |
-------------------------------------------------------------------------------------------------------------------
|Task001|[1.0, 1.0, 1.0]|[6.0, 9.0, 4.0]|[0.65, 0.55, 0.60]|(002.00, 000.00, 000.00)|[09, 02, 00:00, 00:06, 00:17]|
|Task002|[1.0, 1.0, 1.0]|[5.0, 4.0, 9.0]|[0.70, 0.10, 0.85]|(007.00, 000.00, 000.00)|[06, 01, 00:00, 00:08, 00:17]|
|Task003|[1.0, 1.0, 1.0]|[6.0, 9.0, 3.0]|[0.85, 0.15, 0.70]|(004.00, 017.00, 000.00)|[07, 01, 00:00, 00:06, 00:14]|
|Task004|[1.0, 1.0, 1.0]|[3.0, 1.0, 1.0]|[0.25, 0.80, 1.00]|(005.00, 016.00, 000.00)|[06, 02, 00:00, 00:06, 00:17]|
|Task005|[1.0, 1.0, 1.0]|[7.0, 4.0, 3.0]|[0.80, 0.10, 0.75]|(012.00, 001.00, 000.00)|[00, 01, 00:00, 00:05, 00:11]|
|Task006|[1.0, 1.0, 1.0]|[2.0, 6.0, 1.0]|[1.00, 0.40, 0.50]|(010.00, 009.00, 000.00)|[04, 01, 00:00, 00:07, 00:17]|
|Task007|[1.0, 1.0, 1.0]|[2.0, 6.0, 5.0]|[0.50, 0.35, 0.85]|(011.00, 005.00, 000.00)|[00, 02, 00:00, 00:06, 00:15]|
|Task008|[1.0, 1.0, 1.0]|[2.0, 9.0, 4.0]|[0.60, 0.80, 0.05]|(002.00, 001.00, 000.00)|[08, 02, 00:00, 00:09, 00:19]|
|Task009|[1.0, 1.0, 1.0]|[8.0, 6.0, 2.0]|[0.30, 0.15, 0.55]|(003.00, 001.00, 000.00)|[03, 04, 00:00, 00:08, 00:20]|
|Task010|[1.0, 1.0, 1.0]|[2.0, 7.0, 5.0]|[0.45, 0.70, 0.05]|(014.00, 010.00, 000.00)|[04, 04, 00:00, 00:06, 00:15]|
|Task011|[1.0, 1.0, 1.0]|[4.0, 5.0, 1.0]|[0.60, 0.40, 0.70]|(003.00, 000.00, 000.00)|[09, 03, 00:01, 00:08, 00:16]|
|Task012|[1.0, 1.0, 1.0]|[9.0, 7.0, 7.0]|[0.15, 0.10, 0.25]|(000.00, 010.00, 000.00)|[04, 03, 00:01, 00:10, 00:20]|
