********************************
*Task test instances (50 tasks)*
********************************

Each line of the file contains the following data:

		ID|SE|RE|WR|LO|TI

Where

		ID = ID of the task.
		SE = SEnsors required by the task.
		RE = REwards of task sensors.
		WR = Working Rates of task sensors.
		LO = LOcation of the task.
		TI = Temporal Information about the task [Priority, Duration, Discovering date, Starting date, Finishing date].

|ID     |SE             |RE             |WR                |LO                      |TI                           |
-------------------------------------------------------------------------------------------------------------------
|Task001|[1.0, 1.0, 1.0]|[9.0, 2.0, 8.0]|[0.25, 0.85, 0.20]|(017.00, 004.00, 000.00)|[03, 05, 00:00, 00:08, 00:20]|
|Task002|[1.0, 1.0, 1.0]|[5.0, 7.0, 6.0]|[0.60, 0.10, 0.10]|(004.00, 001.00, 000.00)|[08, 02, 00:00, 00:05, 00:15]|
|Task003|[1.0, 1.0, 1.0]|[9.0, 5.0, 2.0]|[0.25, 0.75, 0.40]|(016.00, 004.00, 000.00)|[07, 04, 00:00, 00:09, 00:19]|
|Task004|[1.0, 1.0, 1.0]|[8.0, 8.0, 6.0]|[0.15, 0.70, 0.35]|(015.00, 009.00, 000.00)|[07, 02, 00:00, 00:07, 00:17]|
|Task005|[1.0, 1.0, 1.0]|[2.0, 4.0, 7.0]|[0.80, 0.50, 1.00]|(004.00, 004.00, 000.00)|[05, 01, 00:00, 00:06, 00:13]|
|Task006|[1.0, 1.0, 1.0]|[7.0, 5.0, 6.0]|[0.35, 0.75, 0.25]|(010.00, 016.00, 000.00)|[05, 02, 00:00, 00:07, 00:15]|
|Task007|[1.0, 1.0, 1.0]|[6.0, 6.0, 9.0]|[0.75, 1.00, 0.35]|(000.00, 005.00, 000.00)|[02, 01, 00:01, 00:10, 00:17]|
|Task008|[1.0, 1.0, 1.0]|[2.0, 8.0, 5.0]|[0.20, 0.25, 0.10]|(005.00, 008.00, 000.00)|[02, 05, 00:01, 00:09, 00:22]|
|Task009|[1.0, 1.0, 1.0]|[6.0, 1.0, 5.0]|[0.40, 0.10, 0.15]|(000.00, 002.00, 000.00)|[02, 02, 00:01, 00:08, 00:18]|
|Task010|[1.0, 1.0, 1.0]|[9.0, 4.0, 2.0]|[0.75, 0.65, 1.00]|(018.00, 016.00, 000.00)|[08, 01, 00:01, 00:09, 00:15]|
|Task011|[1.0, 1.0, 1.0]|[7.0, 5.0, 2.0]|[1.00, 0.85, 0.70]|(010.00, 000.00, 000.00)|[06, 05, 00:01, 00:07, 00:20]|
|Task012|[1.0, 1.0, 1.0]|[6.0, 9.0, 6.0]|[0.25, 0.10, 0.65]|(010.00, 008.00, 000.00)|[03, 01, 00:01, 00:08, 00:18]|
|Task013|[1.0, 1.0, 1.0]|[9.0, 5.0, 9.0]|[0.40, 0.10, 0.70]|(013.00, 007.00, 000.00)|[01, 03, 00:01, 00:06, 00:16]|
|Task014|[1.0, 1.0, 1.0]|[7.0, 8.0, 7.0]|[0.15, 0.20, 0.55]|(003.00, 019.00, 000.00)|[03, 01, 00:01, 00:06, 00:14]|
|Task015|[1.0, 1.0, 1.0]|[6.0, 7.0, 9.0]|[0.20, 0.20, 0.20]|(001.00, 011.00, 000.00)|[07, 05, 00:01, 00:07, 00:18]|
|Task016|[1.0, 1.0, 1.0]|[5.0, 3.0, 3.0]|[0.60, 0.50, 0.85]|(003.00, 006.00, 000.00)|[04, 02, 00:01, 00:07, 00:15]|
|Task017|[1.0, 1.0, 1.0]|[3.0, 4.0, 9.0]|[0.20, 0.90, 0.30]|(001.00, 019.00, 000.00)|[04, 01, 00:01, 00:08, 00:18]|
|Task018|[1.0, 1.0, 1.0]|[3.0, 4.0, 2.0]|[0.70, 0.85, 0.75]|(014.00, 005.00, 000.00)|[00, 03, 00:02, 00:11, 00:20]|
